Dataset	Sequencing Platform	Assembler	Clipping with 10x coverage	Clipping with 10x coverage per 100Mbp	Regions larger than 1000 bp with zero coverage	Regions larger than 1000 bp with zero coverage per 100Mbp	>1Mb linear contigs	>1Mb contaminated linear contigs	>1Mb contaminated linear contigs fraction	>1Mb circular contigs	>1Mb contaminated circular contigs	>1Mb contaminated circular contigs fraction	>1Mb linear contig contamination	>1Mb circular contig contamination
ONT_Gut_1	Nanopore	metaMDBG_1.4	6	1.109519207880952	0	0.0	75	0	0.0	12	0	0.0	0.05;0.15;0.04;0.02;0.24;0.26;0.0;1.27;0.02;0.79;0.0;0.19;0.69;0.03;0.58;0.13;0.03;0.31;0.36;0.25;0.04;0.01;0.07;0.04;0.06;0.47;0.08;0.17;0.38;0.0;0.24;0.22;0.59;0.2;0.14;0.47;0.31;0.17;0.1;0.0;0.04;0.61;0.37;0.62;0.13;0.52;0.43;0.01;0.48;0.16;0.17;0.21;0.09;0.33;0.03;0.05;0.35;0.42;0.55;0.16;0.0;0.36;2.39;0.04;0.04;0.2;0.01;0.02;0.27;1.09;0.34;0.0;0.6;0.0;0.04	0.14;0.42;0.47;0.46;0.88;0.09;0.03;0.13;1.38;1.52;1.12;0.41
ONT_Gut_1	Nanopore	myloasm_0.5.1	8	1.2418359936044887	10	1.5522949920056108	103	11	0.107	22	0	0.0	4.38;0.5;0.65;11.38;5.03;0.56;0.11;0.05;0.21;0.33;0.37;0.05;0.16;0.03;0.26;0.14;0.57;0.0;0.02;0.57;0.14;0.16;0.0;0.75;4.06;0.33;0.23;8.12;0.49;15.79;0.03;0.62;0.48;0.83;0.27;1.59;0.03;0.47;0.0;0.66;0.3;28.69;0.82;0.66;10.9;0.03;0.01;0.67;0.42;0.25;2.08;0.0;0.11;2.8;0.01;0.28;0.39;0.91;13.02;0.61;0.47;20.84;3.62;0.0;0.58;0.38;0.09;4.63;0.05;0.04;0.05;0.28;4.46;0.06;0.6;1.12;0.03;0.24;0.09;0.08;0.29;0.05;0.45;2.02;7.3;0.24;0.24;0.45;0.47;3.68;5.85;0.06;0.28;0.79;0.29;0.12;0.35;11.67;0.14;0.62;0.61;2.5;0.22	0.1;0.44;0.41;0.11;1.38;0.13;0.18;0.46;0.28;0.6;0.08;0.13;1.51;0.45;0.75;2.29;1.1;0.03;0.22;0.06;0.92;0.13
ONT_Gut_1	Nanopore	metaflye	83	16.184007816743183	38	7.409545747424589	39	1	0.026	7	0	0.0	18.56;0.07;0.1;0.11;0.23;0.05;0.03;0.1;0.15;0.02;0.09;0.0;0.04;0.14;0.23;0.44;0.02;0.01;0.13;0.01;0.29;0.05;0.01;0.02;1.95;0.05;0.03;2.74;0.06;0.59;0.09;0.01;4.37;0.34;0.0;0.08;2.83;1.34;0.17	0.03;0.09;0.44;1.51;0.76;0.4;0.13
ONT_Gut_2	Nanopore	metaMDBG_1.4	1	0.1350537880409803	12	1.6206454564917638	64	2	0.031	47	0	0.0	0.01;0.42;1.19;3.04;0.04;0.34;0.12;0.23;0.0;0.06;2.25;0.27;0.71;0.07;0.01;0.15;1.95;0.12;1.07;0.11;0.23;0.01;1.14;0.01;0.3;0.16;5.77;1.99;0.38;0.23;1.45;0.08;2.3;0.34;5.37;0.77;0.6;0.58;2.41;0.14;0.04;0.07;0.35;0.48;0.28;0.68;1.78;0.05;3.25;0.09;0.04;0.23;0.31;0.14;0.31;3.02;0.48;0.71;0.39;0.64;2.31;0.01;0.27;0.0	0.3;0.58;0.93;0.48;0.07;0.32;1.02;0.39;0.99;2.58;1.94;1.03;0.26;1.59;0.42;1.45;0.65;0.13;1.77;1.63;1.5;0.38;0.53;0.09;0.12;0.4;0.68;0.35;1.18;4.59;0.05;0.53;0.15;0.38;0.04;0.58;1.03;2.13;0.18;4.92;1.28;0.96;0.22;1.48;0.15;0.0;0.21
ONT_Gut_2	Nanopore	myloasm_0.5.1	10	1.210662561842611	104	12.590890643163156	57	6	0.105	78	1	0.013	1.23;72.63;0.41;1.86;0.09;0.07;20.03;1.3;16.81;0.01;0.37;0.46;5.98;0.03;0.03;0.47;0.67;1.56;3.89;3.77;4.45;0.29;0.94;0.11;0.46;0.18;0.02;0.13;1.44;0.0;0.69;6.72;1.15;0.14;0.18;0.08;0.74;0.32;4.42;1.72;0.16;0.18;0.47;7.92;0.73;0.15;4.61;1.37;1.2;0.01;0.13;0.22;0.24;1.05;0.31;0.27;3.17	0.55;3.03;1.94;0.4;1.01;1.07;1.28;0.98;1.18;0.29;0.66;0.16;1.12;2.5;2.94;1.25;4.63;0.58;0.73;0.13;1.15;0.96;1.59;0.41;1.39;0.0;1.45;0.68;1.36;0.17;0.68;0.35;1.98;1.0;0.99;0.09;2.26;0.22;0.04;0.24;0.18;4.37;0.05;0.12;0.1;0.7;1.57;0.37;0.39;0.09;0.23;0.53;0.43;0.24;4.09;0.37;0.28;4.57;0.16;1.38;0.13;1.56;0.56;6.03;1.61;1.04;0.97;0.43;3.34;1.59;0.86;0.0;0.09;0.7;3.21;0.42;0.44;0.57
ONT_Gut_2	Nanopore	metaflye	36	5.947816190307583	123	20.32170531688424	75	3	0.04	24	0	0.0	0.18;0.05;0.4;0.72;0.44;0.0;1.09;0.38;0.19;0.63;4.52;0.33;0.88;0.36;0.38;0.42;0.89;1.54;0.19;0.12;0.26;0.32;0.25;0.46;0.43;0.01;0.08;0.22;1.78;2.56;0.37;3.25;3.14;0.98;0.36;0.04;2.94;0.08;1.06;0.02;0.59;0.2;9.7;0.2;0.84;0.99;0.42;1.41;0.18;0.04;0.49;3.31;0.84;1.26;22.38;0.54;0.26;0.27;1.54;0.12;1.21;0.44;0.34;0.11;0.1;0.59;0.89;0.36;0.11;0.02;14.52;0.18;1.09;0.09;0.18	0.12;1.84;1.99;0.61;0.37;0.21;0.56;0.08;1.43;0.03;0.4;0.05;4.57;4.58;4.83;0.3;0.21;1.66;0.04;0.43;2.93;1.27;0.18;0.44
ONT_Oral	Nanopore	metaMDBG_1.4	2	0.40877651517113334	4	0.8175530303422667	52	0	0.0	37	0	0.0	0.76;0.02;0.09;0.41;0.0;0.02;0.09;0.0;0.05;3.61;0.22;0.1;0.04;3.12;0.48;0.02;0.02;1.0;0.1;0.28;0.23;0.0;0.39;0.35;0.03;0.13;0.11;0.07;0.57;0.38;0.03;0.11;0.02;0.25;0.1;0.15;0.11;0.63;0.01;0.04;0.04;0.0;0.02;0.35;0.02;0.03;0.0;2.61;0.34;0.02;0.14;0.03	0.24;0.01;0.07;0.24;0.05;0.02;0.64;0.1;0.47;0.53;0.3;0.02;0.13;0.0;0.04;0.15;0.15;0.01;0.22;0.05;0.04;0.23;1.52;0.03;0.02;0.06;0.05;0.11;0.1;0.14;0.01;0.1;0.01;0.3;0.02;0.34;0.05
ONT_Oral	Nanopore	myloasm_0.5.1	2	0.3162660951788929	50	7.906652379472324	46	5	0.109	87	4	0.046	1.88;0.0;0.26;6.31;0.18;0.13;0.24;3.14;0.06;0.26;1.56;0.12;0.15;0.06;0.61;1.04;0.26;0.14;5.21;0.01;0.05;0.49;0.14;71.45;0.18;0.04;0.01;0.0;9.54;0.32;0.03;0.32;0.04;0.0;8.69;0.01;0.08;0.13;0.99;0.25;0.64;0.39;0.54;0.07;2.39;0.02	0.15;0.11;0.39;0.01;0.05;1.07;0.06;0.12;0.13;0.14;0.0;0.79;0.06;0.09;95.89;0.08;0.02;0.01;0.03;7.31;0.03;0.08;0.1;0.0;1.65;0.02;0.06;0.14;0.09;0.64;0.18;0.02;0.01;0.7;0.23;0.01;0.02;0.02;0.13;0.01;0.07;0.79;0.23;0.1;0.17;0.58;0.24;0.83;0.06;0.25;0.75;0.45;0.02;0.02;0.04;0.33;97.86;0.07;0.02;0.01;0.04;0.3;0.14;1.51;0.13;0.11;0.21;0.02;0.0;0.24;0.36;0.02;0.04;0.0;0.3;0.06;0.16;0.02;0.17;27.57;0.02;0.07;0.11;0.02;0.01;0.0;0.2
ONT_Oral	Nanopore	metaflye	161	40.216328677732925	140	34.97072058933298	25	1	0.04	16	0	0.0	0.01;6.19;3.07;4.91;0.53;0.09;0.69;0.05;0.18;0.09;0.13;0.84;0.04;3.28;0.08;0.38;0.15;0.36;0.06;1.51;0.01;0.9;0.15;0.21;2.13	0.07;0.75;0.11;0.04;0.05;0.14;0.02;0.15;0.07;0.04;0.25;0.07;0.44;0.11;0.31;0.45
ONT_Microflora	Nanopore	metaMDBG_1.4	7	0.1394168147516057	4	0.07966675128663182	155	2	0.013	22	0	0.0	0.38;1.31;0.01;0.0;0.0;0.11;0.19;0.21;0.7;0.0;0.0;0.18;1.33;0.0;0.01;0.11;0.0;14.14;0.03;0.11;0.11;0.04;0.03;0.0;0.07;2.86;0.01;0.1;0.11;0.01;0.75;2.51;0.09;0.2;0.17;0.02;0.0;0.03;0.0;0.01;1.07;1.24;0.04;0.32;0.26;0.0;0.01;0.11;0.04;0.31;0.02;0.0;0.13;8.87;0.02;0.03;0.18;0.0;0.11;0.09;0.04;0.02;0.0;2.84;0.04;0.08;0.26;0.04;0.01;0.14;1.66;0.0;0.06;0.0;0.68;0.04;0.03;0.08;0.01;0.0;0.03;0.2;0.04;0.07;1.06;0.66;0.1;0.07;0.2;0.02;0.06;0.01;0.12;0.13;0.0;0.0;0.08;0.0;0.05;0.29;0.78;0.14;0.0;0.37;0.09;0.18;0.08;0.2;0.19;0.25;0.0;0.0;0.0;0.0;0.22;0.27;0.01;0.02;0.13;0.03;0.01;0.03;0.0;0.01;0.32;0.0;0.04;0.02;0.04;0.01;0.01;0.03;0.02;0.0;0.0;0.0;0.14;0.03;0.46;0.04;0.47;0.0;0.03;0.03;0.16;0.04;0.02;0.11;0.01;0.16;0.01;0.07;1.56;0.06;0.25	0.27;0.02;1.11;0.41;0.89;0.01;0.01;0.01;0.65;0.05;0.47;0.29;0.0;0.09;0.03;0.08;1.11;1.45;1.18;0.06;0.68;1.23
